,id,title,image_url,recipe_url,rating_avg,rating_val,total_time,category,cuisine,ingredients
1654,1655,Mackerel kebabs,https://food-images.files.bbci.co.uk/food/recipes/mackerel_kebabs_with_42322_16x9.jpg,https://www.bbc.co.uk/food/recipes/mackerel_kebabs_with_42322,5,1,90,Main course,Turkish and Middle Eastern,"mackerel, lemon, red onion, olive oil, chilli powder, oregano, red wine vinegar"
1655,1656,Mackerel with rhubarb chutney and orange and chicory salad,https://food-images.files.bbci.co.uk/food/recipes/mackerel_with_rhubarb_97633_16x9.jpg,https://www.bbc.co.uk/food/recipes/mackerel_with_rhubarb_97633,5,2,60,Main course, ,"mackerel, sultanas, rhubarb, orange, orange juice, chicory, celery, shallot, pea shoots, rapeseed oil, caster sugar, black pepper, ginger, dill, rosemary, vinegar"
1656,1657,Madeira cake,https://food-images.files.bbci.co.uk/food/recipes/madeiracake_73878_16x9.jpg,https://www.bbc.co.uk/food/recipes/madeiracake_73878,4.047619048,21,150,Cakes and baking, ,"lemon, egg, milk, caster sugar, self-raising flour, butter"
1657,1658,Madeleines,https://food-images.files.bbci.co.uk/food/recipes/madeleine_15211_16x9.jpg,https://www.bbc.co.uk/food/recipes/madeleine_15211,4.551020408,49,90,Cakes and baking,French,"lemon, egg, caster sugar, baking powder, butter, plain flour"
1658,1659,Madeleines with lemon curd,https://food-images.files.bbci.co.uk/food/recipes/madeleines_with_lemon_65371_16x9.jpg,https://www.bbc.co.uk/food/recipes/madeleines_with_lemon_65371,4.5,4,180,Cakes and baking, ,"lemon, raspberry, egg, milk, caster sugar, sugar, baking powder, honey, salt, butter, plain flour"
1659,1660,Madhur Jaffrey's chicken korma,https://food-images.files.bbci.co.uk/food/recipes/creamychickenkormawi_90196_16x9.jpg,https://www.bbc.co.uk/food/recipes/creamychickenkormawi_90196,4.8,5,90,Main course,Indian,"whole chicken, garlic, onion, tomato purée, peanut oil, double cream, salt, ginger, cumin, cinnamon, bay leaf, chilli powder, cloves, cardamom, garam masala, flaked almonds, coriander seeds"
1660,1661,Make-ahead Christmas gravy,https://food-images.files.bbci.co.uk/food/recipes/make-ahead_christmas_33532_16x9.jpg,https://www.bbc.co.uk/food/recipes/make-ahead_christmas_33532,2.5,2,150,Other, ,"chicken wing, carrot, red onion, vegetable oil, cornflour, chicken stock, white wine"
1661,1662,Make-ahead grain bowls,https://food-images.files.bbci.co.uk/food/recipes/make-ahead_grain_bowls_02072_16x9.jpg,https://www.bbc.co.uk/food/recipes/make-ahead_grain_bowls_02072,5,14,60,Light meals & snacks, ,"lemon, orange juice, carrot, tomato, spinach, salad leaves, kale, olive oil, rapeseed oil, sesame oil, honey, sumac, black pepper, cumin, dried chilli, vinegar, vegetable stock, mixed nuts, pumpkin seed, tahini, quinoa, bulgur wheat, couscous"
1662,1663,Make-ahead red cabbage ,https://food-images.files.bbci.co.uk/food/recipes/make-ahead_red_cabbage_13106_16x9.jpg,https://www.bbc.co.uk/food/recipes/make-ahead_red_cabbage_13106,3.941176471,17,90,Side dishes, ,"apple, onion, red cabbage, olive oil, brown sugar, cinnamon, nutmeg, red wine vinegar, cranberry sauce, butter"
1663,1664,Make-ahead sticky toffee pudding,https://food-images.files.bbci.co.uk/food/recipes/sticky_toffee_pudding_25161_16x9.jpg,https://www.bbc.co.uk/food/recipes/sticky_toffee_pudding_25161,5,22,90,Desserts,British,"date, egg, whipping cream, sugar, brown sugar, self-raising flour, bicarbonate of soda, salt, butter"
1664,1665,Make-ahead Yorkshire pudding,https://food-images.files.bbci.co.uk/food/recipes/yorkshirepudding_93848_16x9.jpg,https://www.bbc.co.uk/food/recipes/yorkshirepudding_93848,5,2,150,Side dishes,British,"beef dripping, egg, milk, flour, salt"
1665,1666,Malaysian-spiced noodles with tofu,https://food-images.files.bbci.co.uk/food/recipes/malaysianspicednoodl_88721_16x9.jpg,https://www.bbc.co.uk/food/recipes/malaysianspicednoodl_88721,4.818181818,11,60,Main course,Thai and South-East Asian,"lime, garlic, chilli pepper, shallot, lemongrass, oyster mushrooms, vegetable oil, sugar, salt, ginger, coriander, turmeric, vegetable stock, peanuts, tofu, noodles, coconut milk"
1666,1667,Malt loaf,https://food-images.files.bbci.co.uk/food/recipes/malt_loaf_95881_16x9.jpg,https://www.bbc.co.uk/food/recipes/malt_loaf_95881,4,4,180,Cakes and baking,British,"sultanas, flour, wholemeal flour, brown sugar, honey, yeast, treacle, salt, butter"
1667,1668,Manchester tart,https://food-images.files.bbci.co.uk/food/recipes/manchestertart_91315_16x9.jpg,https://www.bbc.co.uk/food/recipes/manchestertart_91315,5,5,120,Desserts,British,"raspberry, egg, milk, double cream, cornflour, caster sugar, vanilla pod, coconut, shortcrust pastry, butter, plain flour"
1668,1669,Mango and coconut cake ,https://food-images.files.bbci.co.uk/food/recipes/mango_and_coconut_cake_52054_16x9.jpg,https://www.bbc.co.uk/food/recipes/mango_and_coconut_cake_52054,3.321428571,28,180,Cakes and baking, ,"mango, egg, milk, yoghurt, cornflour, caster sugar, baking powder, self-raising flour, vanilla extract, desiccated coconut, salt, butter"
